Column 1,Pokemon Ingilizce,Pokemon Japonca,Pokemon Korece,Pokemon Cince,One Piece Ingilizce,One Piece Japonca,Magic: The Gathering,Riftbound Ingilizce,Riftbound Cince,Lorcana,TOPPS,Yu-Gi-Oh!,Sitesi,Dukkani
Lemon Cards,Evet,Evet,Hayir,Evet,Evet,Evet,Evet,?,?,Evet,Hayir,Evet,https://lemoncards.com.tr/,Istanbul Atasehir
Oyun Kurucu,Evet,Hayir,Hayir,Hayir,Evet,Hayir,Evet,Hayir,Hayir,Evet,Evet,Evet,https://oyunkurucu.com/,Yok
Kollektit,Evet,Hayir,Hayir,Hayir,Evet,Hayir,Evet,Hayir,Hayir,Evet,Hayir,Evet,https://www.kollektit.co/,Yok - Yakinda Ankarada
Card House,Evet,Evet,?,Evet,Evet,Evet,Evet,Evet,Hayir,Evet,Evet,Evet,https://cardhouse.com.tr/,Istanbul Etiler ve Suadiye
Karakterci,Evet,Hayir,Hayir,Hayir,Evet,Hayir,Evet,Evet,Hayir,Hayir,Hayir,Evet,https://www.karakterci.com/,Istanbul Sahrayicedit
SlabandPack,Hayir,Evet,Evet,Hayir,Hayir,Evet,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,https://slabandpack.com/,Yok
Gorilla Custom Cards,Evet,Evet,Hayir,Hayir,Evet,Evet,Evet,Hayir,Hayir,Evet,Evet,Hayir,https://www.gorillacustomcards.com/,Istanbul ACR Loft
Mega Collectable,Evet,Hayir,Hayir,Evet,Hayir,Hayir,Hayir,Evet,Evet,Hayir,Hayir,Hayir,https://www.megacollectable.com/,Yok - Yakinda Istanbulda
Cuttlefish,Evet,Evet,Hayir,Hayir,Evet,Evet,Evet,Hayir,Hayir,Hayir,Hayir,Evet,https://www.storecuttlefish.com/,Istanbul Kadikoy
Goblin Café,Evet,Evet,Hayir,Hayir,Evet,Hayir,Evet,Evet,Hayir,Evet,Hayir,Evet,https://www.goblin-store.com/,Istanbul Kadikoy
Pegasus Oyuncak,Evet,Hayir,Hayir,Hayir,Evet,Hayir,Evet,Evet,Hayir,Evet,Hayir,Evet,https://www.pegasusoyuncak.com/,Istanbul Besiktas
Misthios,Evet,Hayir,Hayir,Hayir,Evet,Hayir,Evet,Evet,Hayir,Evet,Hayir,Evet,https://www.instagram.com/misthiosstore/?hl=en,Ankara Tunali
Cemcollector,Evet,Evet,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Evet,Hayir,https://cemcollector.com/,Yok
Overgame,Hayir,Hayir,Hayir,Hayir,Evet,Hayir,Evet,Evet,Hayir,Evet,Hayir,Evet,https://www.overgameweb.com/,Istanbul Akasya AVM ve Kanyon AVM
Gizala,Evet,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,https://gizala.com.tr/,Istanbul Sefakoy
Mythos Cards,Evet,Evet,Hayir,Hayir,Evet,Hayir,Hayir,Hayir,Hayir,Hayir,Evet,Hayir,https://mythos.cards/,Yok
Zimma Desing,Evet,Evet,Evet,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,https://www.shopier.com/zimmadesign,Yok
House of Collectibles,Evet,Evet,Hayir,Hayir,Evet,Hayir,Hayir,Hayir,Hayir,Evet,Hayir,Evet,https://houseofcollectibles.com.tr/,Izmir Kemalpasa
Poke Istanbul,Evet,Evet,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,https://www.instagram.com/pokeistanbul,Yok
TcgSepeti (Sadece Single),Evet,Evet,Hayir,Hayir,Evet,Hayir,Evet,Hayir,Hayir,Hayir,Hayir,Hayir,https://tcgsepeti.com/,Yok
Kollektman (Sadece Single),Evet,Evet,Hayir,Hayir,Evet,Hayir,Evet,Hayir,Hayir,Hayir,Hayir,Hayir,https://www.kollektman.com/,Yok
Kartolog,Evet,Evet,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,https://www.kartolog.com/tr,Istanbul Erenkoy
Paralel Evren,Evet,Hayir,Hayir,Hayir,Evet,Hayir,Evet,Hayir,Hayir,Evet,Hayir,Hayir,https://paralelevren.istanbul/,Istanbul Bagdat Caddesi
Gameland,Evet,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,https://www.gameland.com.tr/,Ankara Cankaya ve Yenimahalle
Card Dunyasi,Evet,Evet,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,https://www.carddunyasi.com/,Istanbul Bakirkoy
Galaxium,Evet,Evet,Hayir,Hayir,Evet,Hayir,Evet,Evet,Hayir,Hayir,Hayir,Evet,https://www.instagram.com/tcgalaxium/,Istanbul Sefakoy
Leno Cards,Evet,Evet,Hayir,Hayir,Evet,Evet,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,https://lenocards.com.tr/,Yok
Tizy Cards,Evet,Evet,Hayir,Evet,Evet,Hayir,Evet,Evet,Hayir,Evet,Hayir,Evet,https://www.tizycards.com/,Yok
Bolenta Shop,Evet,Evet,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,Hayir,https://www.shopier.com/bolenta,Yok
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bu liste zaman zaman güncellenecektir. Son güncelleme tarihi; 23/11/2025,,,,,,,,,,,,,,
Listede bulunan hiçbir firma reklam veya referans amaçlı yazılmamıştır. Bilgilendirme amaçlıdır. ,,,,,,,,,,,,,,
Liste siralamasi tamamiyle rastgele yapılmıştır. Bu listeyi hazırlayanlar herhangi bir kar amacı gütmemektedir.,,,,,,,,,,,,,,
Bu listeyi hazirlayanlara kahve ismarlamak isterseniz siz bilirsiniz ,,https://buymeacoffee.com/pokezed,,,,,,,,,,,,